11860487;г. Москва;г. Москва;105568.0;Шоссе Энтузиастов;д.59
11860531;Челябинская обл.;г. Челябинск;454007.0;ул. Малогрузовая;д.1
11860533;Челябинская обл.;г. Челябинск;454007.0;ул. Малогрузовая;д.1
11860544;Респ. Белоруссия;г. Минск;220131.0;ул. Кольцова;д.48-55
11860545;Хабаровский край;г. Хабаровск;680001.0;ул. Менделеева;д.1А
11860556;Респ. Белоруссия;г. Минск;220090.0;Логойский тракт;д.22-А
11860604;г. Москва;г. Москва;109316.0;Волгоградский пр-кт;д.41,с.2
11860605;г. Москва;г. Москва;109316.0;Волгоградский пр-т;д. 41
11860611;г. Москва;г. Москва;109316.0;Волгоградский пр-кт;д.41,к.1
11860666;г. Санкт-Петербург;г. Санкт-Петербург;194355.0;Выборгское шоссе;31, корп.2
11900015;Московская обл.;г. Реутов;143960.0;2-3 км МКАД;д. 7
11900021;г. Москва;г. Москва;125422.0;ул. Тимирязевская;д.2/3
11900023;Московская обл.;пос. Томилино;140074.0;Новорязанское ш.;лит. 2
11900024;г. Москва;г. Москва;119526.0;Ленинский пр-кт;д.146
11900025;г. Москва;г. Москва;105094.0;ул. Большая Семеновская;д. 42
11900078;Московская обл.;д. Пикино;141518.0;ул. Транспортная;д.1/1
11900094;г. Москва;г. Москва;142134.0;Симферопольское ш.;д. 22
11900095;г. Москва;г. Москва;117485.0;ЭТАЖ 11, ПОМЕЩ. XIV, КОМ. 1-3, 5-25;nan
11900102;г. Москва;г. Москва;117546.0;пр. Ступинский;эт. 2
11900105;Московская обл.;п. Обухово;142440.0;ул. Хлеборобов;д.1
11900111;Хабаровский край;г. Хабаровск;680042.0;ул. Воронежская;д. 129
11900112;Сахалинская обл.;г. Южно-Сахалинск;693000.0;пр-т Мира;д. 1Г/1
11900113;Магаданская обл.;г. Магадан;685021.0;ул. Речная;д. 79/1
11900114;Московская обл.;г. Химки;141400.0;Квартал Клязьма владение;1д
11900115;Магаданская обл.;г. Магадан;685021.0;ул. Речная;д. 79/1
11900122;г. Москва;г. Москва;123060.0;1-й Волоколамский пр-д;д.10
11900134;Иркутская обл.;г. Иркутск;664022.0;ул. Советская;д. 24
11900135;Республика Бурятия;г. Улан-Удэ;670042.0;ул. Жердева;д. 20
11900141;Иркутская обл.;г. Иркутск;664047.0;ул. Советская;д.24
11900145;г. Москва;г. Москва;109029.0;Сибирский пр.;д. 2
11900224;Пермский край;г. Березовский;652420.0;.;nan
11900225;Кемеровск.обл-Кузбас;г. Киселевск;652708.0;ул. Горького;д.1
11900231;Кемеровск.обл-Кузбас;г. Кемерово;650036.0;ул. Терешковой;д.45
11900247;Свердловская обл.;г. Екатеринбург;620137.0;ул. Вилонова;д.33А
11900249;Свердловская обл.;г. Екатеринбург;620026.0;ул. Декабристов;16/18 Ж
11900277;Ленинградская обл.;пос. Парголово;194362.0;Комендантский пр-кт;д. 140
11900405;г. Москва;г. Москва;125252.0;ул. Зорге;д.17,с.1
11900418;г. Москва;г. Москва;125445.0;ул. Правобережная;д.1
11900430;Ярославская обл.;пос. Нагорный;150521.0;ул. Индустриальная;д. 1
11900440;Московская обл.;г. Одинцово;143082.0;дер. Раздоры, территория МКАД, 61-й км;стр.1
11900448;г. Москва;г. Москва;109145.0;ул. Привольная;2,стр.4
11900456;г. Санкт-Петербург;г. Санкт-Петербург;194352.0;Придорожная аллея;д.10
11900492;Краснодарский край;ПГТ Черноморский;353266.0;ул. Дзержинского;д. 1
11900493;Краснодарский край;ПГТ Черноморский;353266.0;ул. Дзержинского;д. 1
11900536;Приморский край;г. Владивосток;690002.0;Океанский проспект;101, ЛИТ.А
11900537;Воронежская обл.;г. Воронеж;394038.0;ул. Дорожная;д. 24
11900614;Ростовская обл.;г. Аксай;346720.0;пр-т Ленина;д. 54
11900615;Оренбургская обл.;г. Оренбург;460028.0;ул. Заводская;д. 30
11900621;Ростовская обл.;г. Ростов-на-Дону;344002.0;ул. Темерницкая;д.47
11900656;Саратовская обл.;г. Саратов;410062.0;ВСО, пос. Строитель;лит. КМ
11900657;Волгоградская обл.;г. Волгоград;400075.0;пр-д Нефтяников;д. 14
11900666;г. Москва;г. Москва;111398.0;ул. Кусковская;д.16,помIV
11920908;г. Москва;г. Москва;117105.0;д. 26, стр. 11, антресоль подвала;пом. II
11922777;Камчатская обл.;г. Петропавловск-Камчатский;683000.0;пл. Г. И. Щедрина;д.2
11925166;г. Москва;г. Москва;127204.0;ул. Адмирала макарова;д.2
11925168;г. Москва;г. Москва;127204.0;Дмитровское ш.;д. 161А
11925170;г. Москва;г. Москва;125212.0;Духовской переулок;д.17A
11925188;г. Москва;г. Москва;109444.0;ул. Сормовская;д.21А
